Query_ID	Doc_ID	Rank	Score
1	792	1	25.5
1	798	2	25.5
1	1147	3	25.5
1	874	4	25.0
1	51	5	24.0
1	1313	6	23.5
1	131	7	23.5
1	717	8	22.5
1	1201	9	21.0
1	244	10	20.5
1	640	11	20.5
1	262	12	20.5
1	193	13	20.0
1	1144	14	20.0
1	695	15	19.5
1	662	16	19.5
1	927	17	19.5
1	329	18	19.0
1	576	19	19.0
1	82	20	18.5
1	433	21	18.0
1	56	22	18.0
1	962	23	18.0
1	826	24	18.0
1	1040	25	18.0
1	14	26	18.0
1	1268	27	18.0
1	928	28	17.5
1	1104	29	17.0
1	89	30	17.0
1	721	31	17.0
1	1047	32	17.0
1	1226	33	16.5
1	499	34	16.5
1	83	35	16.5
1	1277	36	16.0
1	73	37	16.0
1	588	38	16.0
1	49	39	16.0
1	300	40	16.0
1	315	41	16.0
1	673	42	15.5
1	140	43	15.5
1	658	44	15.5
1	373	45	15.5
1	96	46	15.5
1	1239	47	15.5
1	414	48	15.0
1	976	49	15.0
1	1244	50	15.0
1	252	51	15.0
1	272	52	15.0
1	435	53	15.0
1	730	54	15.0
1	486	55	15.0
1	1392	56	15.0
1	29	57	15.0
1	947	58	14.5
1	712	59	14.5
1	156	60	14.5
1	704	61	14.5
1	344	62	14.5
1	992	63	14.5
1	1335	64	14.5
1	1300	65	14.5
1	710	66	14.5
1	991	67	14.5
1	1292	68	14.5
1	1263	69	14.5
1	417	70	14.0
1	811	71	14.0
1	1328	72	14.0
1	9	73	14.0
1	94	74	14.0
1	77	75	14.0
1	204	76	14.0
1	1307	77	14.0
1	1167	78	14.0
1	638	79	14.0
1	946	80	14.0
1	151	81	14.0
1	325	82	13.5
1	85	83	13.5
1	625	84	13.5
1	572	85	13.5
1	80	86	13.5
1	277	87	13.5
1	225	88	13.5
1	707	89	13.5
1	33	90	13.5
1	197	91	13.5
1	114	92	13.5
1	564	93	13.5
1	12	94	13.5
1	1218	95	13.5
1	442	96	13.0
1	99	97	13.0
1	395	98	13.0
1	1352	99	13.0
1	189	100	13.0
1	170	101	13.0
1	240	102	13.0
1	274	103	13.0
1	980	104	13.0
1	747	105	13.0
1	1061	106	13.0
1	174	107	13.0
1	332	108	12.5
1	124	109	12.5
1	675	110	12.5
1	210	111	12.5
1	364	112	12.5
1	92	113	12.5
1	1164	114	12.5
1	342	115	12.5
1	294	116	12.5
1	100	117	12.5
1	216	118	12.5
1	808	119	12.5
1	1072	120	12.5
1	423	121	12.5
1	1322	122	12.5
1	917	123	12.5
1	685	124	12.5
1	1119	125	12.5
1	101	126	12.0
1	25	127	12.0
1	1375	128	12.0
1	163	129	12.0
1	1246	130	12.0
1	1325	131	12.0
1	1342	132	12.0
1	801	133	12.0
1	560	134	12.0
1	522	135	12.0
1	213	136	12.0
1	110	137	12.0
1	334	138	12.0
1	1338	139	12.0
1	934	140	12.0
1	172	141	12.0
1	1381	142	12.0
1	1039	143	12.0
1	466	144	12.0
1	62	145	12.0
1	45	146	12.0
1	1341	147	12.0
1	889	148	12.0
1	872	149	12.0
1	828	150	11.5
1	529	151	11.5
1	1380	152	11.5
1	686	153	11.5
1	234	154	11.5
1	232	155	11.5
1	1154	156	11.5
1	773	157	11.5
1	815	158	11.5
1	206	159	11.5
1	767	160	11.5
1	1321	161	11.5
1	1351	162	11.5
1	198	163	11.5
1	563	164	11.5
1	202	165	11.5
1	987	166	11.5
1	211	167	11.5
1	806	168	11.5
1	253	169	11.5
1	797	170	11.5
1	493	171	11.5
1	434	172	11.0
1	566	173	11.0
1	187	174	11.0
1	160	175	11.0
1	1082	176	11.0
1	132	177	11.0
1	766	178	11.0
1	184	179	11.0
1	416	180	11.0
1	822	181	11.0
1	13	182	11.0
1	876	183	11.0
1	166	184	11.0
1	1108	185	11.0
1	57	186	11.0
1	656	187	11.0
1	665	188	11.0
1	44	189	11.0
1	1387	190	11.0
1	1383	191	11.0
1	1303	192	11.0
1	1163	193	11.0
1	540	194	11.0
1	1097	195	11.0
1	453	196	11.0
1	982	197	11.0
1	1115	198	11.0
1	219	199	11.0
1	1114	200	11.0
2	1201	1	87.0
2	798	2	82.0
2	1313	3	70.0
2	329	4	65.0
2	927	5	56.0
2	792	6	55.0
2	499	7	51.5
2	417	8	51.0
2	89	9	50.5
2	673	10	49.5
2	452	11	47.5
2	1040	12	47.5
2	721	13	47.5
2	73	14	47.0
2	1147	15	46.5
2	433	16	46.0
2	94	17	46.0
2	1239	18	45.5
2	131	19	45.0
2	1144	20	43.5
2	160	21	42.5
2	1244	22	42.5
2	244	23	42.5
2	874	24	41.5
2	1047	25	41.5
2	364	26	41.0
2	757	27	41.0
2	928	28	40.5
2	826	29	40.5
2	992	30	40.5
2	522	31	40.0
2	695	32	39.5
2	140	33	39.5
2	576	34	39.5
2	262	35	39.5
2	1392	36	39.5
2	315	37	39.5
2	85	38	38.0
2	199	39	38.0
2	640	40	38.0
2	1072	41	37.5
2	827	42	37.5
2	234	43	37.0
2	225	44	37.0
2	731	45	37.0
2	33	46	37.0
2	423	47	37.0
2	132	48	36.5
2	662	49	36.5
2	272	50	36.5
2	14	51	36.5
2	797	52	36.5
2	82	53	36.0
2	99	54	36.0
2	976	55	36.0
2	1382	56	36.0
2	49	57	36.0
2	1198	58	36.0
2	193	59	35.5
2	1226	60	35.5
2	206	61	35.5
2	730	62	35.5
2	1082	63	35.0
2	712	64	35.0
2	189	65	35.0
2	1209	66	35.0
2	51	67	35.0
2	83	68	35.0
2	466	69	35.0
2	1061	70	35.0
2	675	71	34.5
2	210	72	34.5
2	1164	73	34.5
2	277	74	34.5
2	373	75	34.5
2	170	76	34.5
2	96	77	34.5
2	599	78	34.0
2	962	79	34.0
2	173	80	34.0
2	1248	81	34.0
2	151	82	34.0
2	1268	83	34.0
2	625	84	33.5
2	1375	85	33.5
2	572	86	33.5
2	344	87	33.5
2	155	88	33.5
2	658	89	33.0
2	1343	90	33.0
2	811	91	32.5
2	218	92	32.5
2	588	93	32.5
2	548	94	32.5
2	946	95	32.5
2	434	96	32.0
